ID,Reason for Absence,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value
27,23,01/09/2015,184,42,27,241.476,21,0,0,0,2,01/09/2015
34,23,07/09/2015,118,10,37,241.476,28,0,0,0,4,07/09/2015
3,23,01/09/2015,179,51,38,241.476,31,0,0,0,4,01/09/2015
5,19,08/09/2015,235,20,43,241.476,38,0,1,0,8,08/09/2015
14,23,09/09/2015,155,12,34,241.476,25,0,2,0,2,09/09/2015
34,23,13/09/2015,118,10,37,241.476,28,0,0,0,3,13/09/2015
3,23,14/09/2015,179,51,38,241.476,31,0,0,0,3,14/09/2015
15,23,24/09/2015,291,31,40,241.476,25,0,1,1,4,24/09/2015
20,22,04/09/2015,260,50,36,241.476,23,0,4,0,8,04/09/2015
15,14,14/09/2015,291,31,40,241.476,25,0,1,1,32,14/09/2015
20,0,21/09/2015,260,50,36,241.476,23,0,4,0,0,21/09/2015
29,0,28/09/2015,225,26,28,241.476,24,0,1,2,0,28/09/2015
28,23,08/09/2015,225,26,28,241.476,24,0,1,2,2,08/09/2015
34,23,15/09/2015,118,10,37,241.476,28,0,0,0,2,15/09/2015
11,0,22/09/2015,289,36,33,241.476,30,0,2,1,0,22/09/2015
36,0,29/09/2015,118,13,50,241.476,31,0,1,0,0,29/09/2015
28,18,16/09/2015,225,26,28,241.476,24,0,1,2,3,16/09/2015
3,23,23/09/2015,179,51,38,241.476,31,0,0,0,3,23/09/2015
13,0,30/09/2015,369,17,31,241.476,25,0,3,0,0,30/09/2015
33,23,11/09/2015,248,25,47,241.476,32,0,2,1,1,11/09/2015
3,23,18/09/2015,179,51,38,241.476,31,0,0,0,3,18/09/2015
20,23,25/09/2015,260,50,36,241.476,23,0,4,0,4,25/09/2015
3,23,06/10/2015,179,51,38,253.465,31,0,0,0,3,06/10/2015
34,23,13/10/2015,118,10,37,253.465,28,0,0,0,3,13/10/2015
36,0,14/10/2015,118,13,50,253.465,31,0,1,0,0,14/10/2015
22,23,15/10/2015,179,26,30,253.465,19,1,0,0,1,15/10/2015
3,23,16/10/2015,179,51,38,253.465,31,0,0,0,3,16/10/2015
28,23,16/10/2015,225,26,28,253.465,24,0,1,2,3,16/10/2015
34,23,06/10/2015,118,10,37,253.465,28,0,0,0,3,06/10/2015
28,23,14/10/2015,225,26,28,253.465,24,0,1,2,2,14/10/2015
33,23,21/10/2015,248,25,47,253.465,32,0,2,1,2,21/10/2015
15,23,22/10/2015,291,31,40,253.465,25,0,1,1,5,22/10/2015
3,23,21/10/2015,179,51,38,253.465,31,0,0,0,8,21/10/2015
28,23,21/10/2015,225,26,28,253.465,24,0,1,2,3,21/10/2015
20,19,22/10/2015,260,50,36,253.465,23,0,4,0,16,22/10/2015
15,14,13/10/2015,291,31,40,253.465,25,0,1,1,8,13/10/2015
28,28,20/10/2015,225,26,28,253.465,24,0,1,2,2,20/10/2015
11,26,21/10/2015,289,36,33,253.465,30,0,2,1,8,21/10/2015
10,23,23/10/2015,361,52,28,253.465,27,0,1,4,1,23/10/2015
20,28,30/10/2015,260,50,36,253.465,23,0,4,0,3,30/10/2015
3,23,05/11/2015,179,51,38,306.345,31,0,0,0,1,05/11/2015
28,23,04/11/2015,225,26,28,306.345,24,0,1,2,1,04/11/2015
3,13,05/11/2015,179,51,38,306.345,31,0,0,0,8,05/11/2015
17,21,12/11/2015,179,22,40,306.345,22,1,2,0,8,12/11/2015
15,23,19/11/2015,291,31,40,306.345,25,0,1,1,5,19/11/2015
14,10,02/11/2015,155,12,34,306.345,25,0,2,0,32,02/11/2015
6,22,09/11/2015,189,29,33,306.345,25,0,2,2,8,09/11/2015
15,14,16/11/2015,291,31,40,306.345,25,0,1,1,40,16/11/2015
28,23,18/11/2015,225,26,28,306.345,24,0,1,2,1,18/11/2015
14,6,20/11/2015,155,12,34,306.345,25,0,2,0,8,20/11/2015
28,23,18/11/2015,225,26,28,306.345,24,0,1,2,3,18/11/2015
17,21,25/11/2015,179,22,40,306.345,22,1,2,0,8,25/11/2015
28,13,20/11/2015,225,26,28,306.345,24,0,1,2,3,20/11/2015
20,28,27/11/2015,260,50,36,306.345,23,0,4,0,4,27/11/2015
33,28,02/11/2015,248,25,47,306.345,32,0,2,1,1,02/11/2015
28,28,10/11/2015,225,26,28,306.345,24,0,1,2,3,10/11/2015
11,7,11/11/2015,289,36,33,306.345,30,0,2,1,24,11/11/2015
15,23,26/11/2015,291,31,40,306.345,25,0,1,1,3,26/11/2015
33,23,01/12/2015,248,25,47,261.306,32,0,2,1,1,01/12/2015
34,19,01/12/2015,118,10,37,261.306,28,0,0,0,64,01/12/2015
36,23,02/12/2015,118,13,50,261.306,31,0,1,0,2,02/12/2015
1,26,02/12/2015,235,11,37,261.306,29,1,1,1,8,02/12/2015
28,23,03/12/2015,225,26,28,261.306,24,0,1,2,2,03/12/2015
20,26,04/12/2015,260,50,36,261.306,23,0,4,0,8,04/12/2015
34,19,08/12/2015,118,10,37,261.306,28,0,0,0,56,08/12/2015
10,22,09/12/2015,361,52,28,261.306,27,0,1,4,8,09/12/2015
28,28,10/12/2015,225,26,28,261.306,24,0,1,2,3,10/12/2015
20,28,11/12/2015,260,50,36,261.306,23,0,4,0,3,11/12/2015
28,23,15/12/2015,225,26,28,261.306,24,0,1,2,2,15/12/2015
10,22,16/12/2015,361,52,28,261.306,27,0,1,4,8,16/12/2015
34,27,11/12/2015,118,10,37,261.306,28,0,0,0,2,11/12/2015
24,19,18/12/2015,246,25,41,261.306,23,0,0,0,8,18/12/2015
28,23,18/12/2015,225,26,28,261.306,24,0,1,2,2,18/12/2015
28,23,06/01/2016,225,26,28,308.593,24,0,1,2,1,06/01/2016
34,19,04/01/2016,118,10,37,308.593,28,0,0,0,1,04/01/2016
34,27,05/01/2016,118,10,37,308.593,28,0,0,0,1,05/01/2016
14,18,05/01/2016,155,12,34,308.593,25,0,2,0,8,05/01/2016
28,27,06/01/2016,225,26,28,308.593,24,0,1,2,2,06/01/2016
27,23,07/01/2016,184,42,27,308.593,21,0,0,0,2,07/01/2016
28,28,07/01/2016,225,26,28,308.593,24,0,1,2,2,07/01/2016
28,27,08/01/2016,225,26,28,308.593,24,0,1,2,1,08/01/2016
34,27,11/01/2016,118,10,37,308.593,28,0,0,0,2,11/01/2016
28,27,12/01/2016,225,26,28,308.593,24,0,1,2,2,12/01/2016
34,27,12/01/2016,118,10,37,308.593,28,0,0,0,2,12/01/2016
34,27,13/01/2016,118,10,37,308.593,28,0,0,0,2,13/01/2016
34,27,14/01/2016,118,10,37,308.593,28,0,0,0,2,14/01/2016
34,27,15/01/2016,118,10,37,308.593,28,0,0,0,2,15/01/2016
34,27,11/01/2016,118,10,37,308.593,28,0,0,0,2,11/01/2016
34,27,12/01/2016,118,10,37,308.593,28,0,0,0,2,12/01/2016
22,18,12/01/2016,179,26,30,308.593,19,1,0,0,8,12/01/2016
11,18,12/01/2016,289,36,33,308.593,30,0,2,1,8,12/01/2016
34,27,13/01/2016,118,10,37,308.593,28,0,0,0,2,13/01/2016
27,23,21/01/2016,184,42,27,308.593,21,0,0,0,2,21/01/2016
34,27,28/01/2016,118,10,37,308.593,28,0,0,0,2,28/01/2016
34,27,25/01/2016,118,10,37,308.593,28,0,0,0,0,25/01/2016
28,23,26/01/2016,225,26,28,308.593,24,0,1,2,1,26/01/2016
11,22,28/01/2016,289,36,33,308.593,30,0,2,1,3,28/01/2016
27,23,05/02/2016,184,42,27,302.585,21,0,0,0,1,05/02/2016
24,1,03/02/2016,246,25,41,302.585,23,0,0,0,8,03/02/2016
3,11,10/02/2016,179,51,38,302.585,31,0,0,0,8,10/02/2016
14,28,11/02/2016,155,12,34,302.585,25,0,2,0,2,11/02/2016
6,23,11/02/2016,189,29,33,302.585,25,0,2,2,8,11/02/2016
20,28,12/02/2016,260,50,36,302.585,23,0,4,0,2,12/02/2016
11,22,12/02/2016,289,36,33,302.585,30,0,2,1,8,12/02/2016
31,11,08/02/2016,388,15,50,302.585,24,0,0,0,8,08/02/2016
31,1,09/02/2016,388,15,50,302.585,24,0,0,0,8,09/02/2016
28,28,15/02/2016,225,26,28,302.585,24,0,1,2,2,15/02/2016
28,23,09/02/2016,225,26,28,302.585,24,0,1,2,2,09/02/2016
22,23,16/02/2016,179,26,30,302.585,19,1,0,0,1,16/02/2016
27,23,23/02/2016,184,42,27,302.585,21,0,0,0,8,23/02/2016
28,25,25/02/2016,225,26,28,302.585,24,0,1,2,3,25/02/2016
18,18,15/02/2016,330,16,28,302.585,25,1,0,0,8,15/02/2016
18,23,16/02/2016,330,16,28,302.585,25,1,0,0,1,16/02/2016
28,23,17/02/2016,225,26,28,302.585,24,0,1,2,1,17/02/2016
6,19,25/02/2016,189,29,33,302.585,25,0,2,2,8,25/02/2016
19,28,01/03/2016,291,50,32,343.253,23,0,0,0,2,01/03/2016
20,19,01/03/2016,260,50,36,343.253,23,0,4,0,8,01/03/2016
30,19,08/03/2016,157,27,29,343.253,22,0,0,0,3,08/03/2016
17,17,15/03/2016,179,22,40,343.253,22,1,2,0,8,15/03/2016
15,22,16/03/2016,291,31,40,343.253,25,0,1,1,8,16/03/2016
20,13,02/03/2016,260,50,36,343.253,23,0,4,0,8,02/03/2016
22,13,03/03/2016,179,26,30,343.253,19,1,0,0,8,03/03/2016
33,14,04/03/2016,248,25,47,343.253,32,0,2,1,3,04/03/2016
20,13,04/03/2016,260,50,36,343.253,23,0,4,0,40,04/03/2016
17,11,07/03/2016,179,22,40,343.253,22,1,2,0,40,07/03/2016
14,1,14/03/2016,155,12,34,343.253,25,0,2,0,16,14/03/2016
20,26,21/03/2016,260,50,36,343.253,23,0,4,0,16,21/03/2016
14,13,22/03/2016,155,12,34,343.253,25,0,2,0,8,22/03/2016
11,6,24/03/2016,289,36,33,343.253,30,0,2,1,8,24/03/2016
17,8,24/03/2016,179,22,40,343.253,22,1,2,0,8,24/03/2016
20,28,25/03/2016,260,50,36,343.253,23,0,4,0,4,25/03/2016
28,23,25/03/2016,225,26,28,343.253,24,0,1,2,1,25/03/2016
7,14,28/03/2016,279,5,39,343.253,24,0,2,0,8,28/03/2016
3,13,29/03/2016,179,51,38,343.253,31,0,0,0,24,29/03/2016
28,23,30/03/2016,225,26,28,343.253,24,0,1,2,2,30/03/2016
28,11,28/03/2016,225,26,28,343.253,24,0,1,2,8,28/03/2016
22,13,28/03/2016,179,26,30,343.253,19,1,0,0,1,28/03/2016
28,11,29/03/2016,225,26,28,343.253,24,0,1,2,8,29/03/2016
28,11,30/03/2016,225,26,28,343.253,24,0,1,2,16,30/03/2016
3,13,30/03/2016,179,51,38,343.253,31,0,0,0,3,30/03/2016
7,14,17/03/2016,279,5,39,343.253,24,0,2,0,16,17/03/2016
28,28,18/03/2016,225,26,28,343.253,24,0,1,2,2,18/03/2016
33,14,25/03/2016,248,25,47,343.253,32,0,2,1,3,25/03/2016
28,28,28/03/2016,225,26,28,343.253,24,0,1,2,1,28/03/2016
15,28,06/04/2016,291,31,40,326.452,25,0,1,1,1,06/04/2016
28,23,13/04/2016,225,26,28,326.452,24,0,1,2,1,13/04/2016
14,28,12/04/2016,155,12,34,326.452,25,0,2,0,1,12/04/2016
24,13,13/04/2016,246,25,41,326.452,23,0,0,0,24,13/04/2016
14,23,14/04/2016,155,12,34,326.452,25,0,2,0,1,14/04/2016
28,28,15/04/2016,225,26,28,326.452,24,0,1,2,2,15/04/2016
20,28,15/04/2016,260,50,36,326.452,23,0,4,0,4,15/04/2016
3,13,06/04/2016,179,51,38,326.452,31,0,0,0,24,06/04/2016
36,23,07/04/2016,118,13,50,326.452,31,0,1,0,1,07/04/2016
15,23,08/04/2016,291,31,40,326.452,25,0,1,1,3,08/04/2016
24,14,08/04/2016,246,25,41,326.452,23,0,0,0,8,08/04/2016
15,28,22/04/2016,291,31,40,326.452,25,0,1,1,1,22/04/2016
33,28,29/04/2016,248,25,47,326.452,32,0,2,1,8,29/04/2016
20,19,29/04/2016,260,50,36,326.452,23,0,4,0,56,29/04/2016
11,19,26/04/2016,289,36,33,326.452,30,0,2,1,8,26/04/2016
14,12,27/04/2016,155,12,34,326.452,25,0,2,0,24,27/04/2016
23,19,27/04/2016,378,49,36,326.452,21,0,2,4,8,27/04/2016
11,13,28/04/2016,289,36,33,326.452,30,0,2,1,16,28/04/2016
1,7,08/04/2016,235,11,37,326.452,29,1,1,1,3,08/04/2016
2,0,04/04/2016,235,29,48,326.452,33,0,1,5,0,04/04/2016
11,13,04/05/2016,289,36,33,378.884,30,0,2,1,8,04/05/2016
14,28,05/05/2016,155,12,34,378.884,25,0,2,0,2,05/05/2016
14,28,02/05/2016,155,12,34,378.884,25,0,2,0,1,02/05/2016
3,18,03/05/2016,179,51,38,378.884,31,0,0,0,8,03/05/2016
28,19,03/05/2016,225,26,28,378.884,24,0,1,2,8,03/05/2016
27,7,11/05/2016,184,42,27,378.884,21,0,0,0,4,11/05/2016
14,28,09/05/2016,155,12,34,378.884,25,0,2,0,2,09/05/2016
3,12,10/05/2016,179,51,38,378.884,31,0,0,0,1,10/05/2016
11,13,04/05/2016,289,36,33,378.884,30,0,2,1,24,04/05/2016
7,0,11/05/2016,279,5,39,378.884,24,0,2,0,0,11/05/2016
18,0,18/05/2016,330,16,28,378.884,25,1,0,0,0,18/05/2016
23,0,25/05/2016,378,49,36,378.884,21,0,2,4,0,25/05/2016
31,0,25/05/2016,388,15,50,378.884,24,0,0,0,0,25/05/2016
3,11,24/05/2016,179,51,38,378.884,31,0,0,0,1,24/05/2016
36,13,11/05/2016,118,13,50,378.884,31,0,1,0,24,11/05/2016
10,22,27/05/2016,361,52,28,378.884,27,0,1,4,8,27/05/2016
24,19,06/06/2016,246,25,41,377.55,23,0,0,0,8,06/06/2016
10,22,13/06/2016,361,52,28,377.55,27,0,1,4,8,13/06/2016
24,10,14/06/2016,246,25,41,377.55,23,0,0,0,24,14/06/2016
15,23,16/06/2016,291,31,40,377.55,25,0,1,1,4,16/06/2016
24,10,17/06/2016,246,25,41,377.55,23,0,0,0,8,17/06/2016
3,11,13/06/2016,179,51,38,377.55,31,0,0,0,8,13/06/2016
14,23,20/06/2016,155,12,34,377.55,25,0,2,0,4,20/06/2016
24,10,27/06/2016,246,25,41,377.55,23,0,0,0,8,27/06/2016
36,13,29/06/2016,118,13,50,377.55,31,0,1,0,8,29/06/2016
1,13,03/06/2016,235,11,37,377.55,29,1,1,1,16,03/06/2016
36,23,07/06/2016,118,13,50,377.55,31,0,1,0,1,07/06/2016
36,13,08/06/2016,118,13,50,377.55,31,0,1,0,80,08/06/2016
23,22,09/06/2016,378,49,36,377.55,21,0,2,4,8,09/06/2016
3,11,10/06/2016,179,51,38,377.55,31,0,0,0,2,10/06/2016
32,28,20/06/2016,289,48,49,377.55,36,0,0,2,2,20/06/2016
28,28,30/06/2016,225,26,28,377.55,24,0,1,2,2,30/06/2016
14,19,05/07/2016,155,12,34,275.312,25,0,2,0,16,05/07/2016
36,1,06/07/2016,118,13,50,275.312,31,0,1,0,8,06/07/2016
34,5,08/07/2016,118,10,37,275.312,28,0,0,0,8,08/07/2016
34,26,08/07/2016,118,10,37,275.312,28,0,0,0,4,08/07/2016
18,26,12/07/2016,330,16,28,275.312,25,1,0,0,8,12/07/2016
22,18,14/07/2016,179,26,30,275.312,19,1,0,0,8,14/07/2016
14,25,15/07/2016,155,12,34,275.312,25,0,2,0,2,15/07/2016
18,1,18/07/2016,330,16,28,275.312,25,1,0,0,8,18/07/2016
18,1,19/07/2016,330,16,28,275.312,25,1,0,0,8,19/07/2016
30,25,18/07/2016,157,27,29,275.312,22,0,0,0,3,18/07/2016
10,22,19/07/2016,361,52,28,275.312,27,0,1,4,8,19/07/2016
11,26,20/07/2016,289,36,33,275.312,30,0,2,1,8,20/07/2016
3,26,21/07/2016,179,51,38,275.312,31,0,0,0,8,21/07/2016
11,19,11/07/2016,289,36,33,275.312,30,0,2,1,32,11/07/2016
11,19,14/07/2016,289,36,33,275.312,30,0,2,1,8,14/07/2016
20,0,21/07/2016,260,50,36,275.312,23,0,4,0,0,21/07/2016
11,19,04/08/2016,289,36,33,265.615,30,0,2,1,8,04/08/2016
30,19,11/08/2016,157,27,29,265.615,22,0,0,0,3,11/08/2016
11,23,07/08/2016,289,36,33,265.615,30,0,2,1,1,07/08/2016
9,18,08/08/2016,228,14,58,265.615,22,0,2,1,8,08/08/2016
26,13,10/08/2016,300,26,43,265.615,25,0,2,1,1,10/08/2016
26,14,10/08/2016,300,26,43,265.615,25,0,2,1,2,10/08/2016
20,28,11/08/2016,260,50,36,265.615,23,0,4,0,4,11/08/2016
11,23,08/08/2016,289,36,33,265.615,30,0,2,1,4,08/08/2016
33,23,09/08/2016,248,25,47,265.615,32,0,2,1,1,09/08/2016
21,11,10/08/2016,268,11,33,265.615,25,1,0,0,8,10/08/2016
22,23,10/08/2016,179,26,30,265.615,19,1,0,0,1,10/08/2016
36,13,10/08/2016,118,13,50,265.615,31,0,1,0,3,10/08/2016
33,25,14/08/2016,248,25,47,265.615,32,0,2,1,2,14/08/2016
1,23,15/08/2016,235,11,37,265.615,29,1,1,1,1,15/08/2016
36,23,17/08/2016,118,13,50,265.615,31,0,1,0,1,17/08/2016
1,19,24/08/2016,235,11,37,265.615,29,1,1,1,8,24/08/2016
10,8,08/08/2016,361,52,28,265.615,27,0,1,4,8,08/08/2016
27,6,30/08/2016,184,42,27,265.615,21,0,0,0,8,30/08/2016
3,11,05/09/2016,179,51,38,294.217,31,0,0,0,8,05/09/2016
3,23,09/09/2016,179,51,38,294.217,31,0,0,0,3,09/09/2016
11,19,07/09/2016,289,36,33,294.217,30,0,2,1,24,07/09/2016
5,0,08/09/2016,235,20,43,294.217,38,0,1,0,0,08/09/2016
24,9,12/09/2016,246,25,41,294.217,23,0,0,0,16,12/09/2016
15,28,13/09/2016,291,31,40,294.217,25,0,1,1,3,13/09/2016
8,0,13/09/2016,231,35,39,294.217,35,0,2,2,0,13/09/2016
19,0,13/09/2016,291,50,32,294.217,23,0,0,0,0,13/09/2016
3,13,14/09/2016,179,51,38,294.217,31,0,0,0,8,14/09/2016
24,9,14/09/2016,246,25,41,294.217,23,0,0,0,32,14/09/2016
3,23,15/09/2016,179,51,38,294.217,31,0,0,0,1,15/09/2016
15,28,16/09/2016,291,31,40,294.217,25,0,1,1,4,16/09/2016
20,28,16/09/2016,260,50,36,294.217,23,0,4,0,4,16/09/2016
5,26,14/09/2016,235,20,43,294.217,38,0,1,0,8,14/09/2016
36,28,15/09/2016,118,13,50,294.217,31,0,1,0,1,15/09/2016
5,0,15/09/2016,235,20,43,294.217,38,0,1,0,0,15/09/2016
15,28,16/09/2016,291,31,40,294.217,25,0,1,1,3,16/09/2016
15,7,26/09/2016,291,31,40,294.217,25,0,1,1,40,26/09/2016
3,13,26/09/2016,179,51,38,294.217,31,0,0,0,8,26/09/2016
11,24,05/10/2016,289,36,33,265.017,30,0,2,1,8,05/10/2016
1,26,05/10/2016,235,11,37,265.017,29,1,1,1,4,05/10/2016
11,26,05/10/2016,289,36,33,265.017,30,0,2,1,8,05/10/2016
11,22,06/10/2016,289,36,33,265.017,30,0,2,1,8,06/10/2016
36,0,06/10/2016,118,13,50,265.017,31,0,1,0,0,06/10/2016
33,0,06/10/2016,248,25,47,265.017,32,0,2,1,0,06/10/2016
22,1,12/10/2016,179,26,30,265.017,19,1,0,0,8,12/10/2016
34,7,12/10/2016,118,10,37,265.017,28,0,0,0,3,12/10/2016
13,22,12/10/2016,369,17,31,265.017,25,0,3,0,8,12/10/2016
3,28,14/10/2016,179,51,38,265.017,31,0,0,0,1,14/10/2016
22,1,14/10/2016,179,26,30,265.017,19,1,0,0,64,14/10/2016
5,0,14/10/2016,235,20,43,265.017,38,0,1,0,0,14/10/2016
11,19,15/10/2016,289,36,33,265.017,30,0,2,1,16,15/10/2016
20,28,16/10/2016,260,50,36,265.017,23,0,4,0,3,16/10/2016
5,0,16/10/2016,235,20,43,265.017,38,0,1,0,0,16/10/2016
5,23,19/10/2016,235,20,43,265.017,38,0,1,0,2,19/10/2016
5,23,19/10/2016,235,20,43,265.017,38,0,1,0,2,19/10/2016
36,28,20/10/2016,118,13,50,265.017,31,0,1,0,1,20/10/2016
15,28,20/10/2016,291,31,40,265.017,25,0,1,1,4,20/10/2016
22,23,22/10/2016,179,26,30,265.017,19,1,0,0,16,22/10/2016
36,28,22/10/2016,118,13,50,265.017,31,0,1,0,1,22/10/2016
10,10,26/10/2016,361,52,28,265.017,27,0,1,4,8,26/10/2016
20,0,27/10/2016,260,50,36,265.017,23,0,4,0,0,27/10/2016
15,0,27/10/2016,291,31,40,265.017,25,0,1,1,0,27/10/2016
30,0,27/10/2016,157,27,29,265.017,22,0,0,0,0,27/10/2016
22,1,28/10/2016,179,26,30,265.017,19,1,0,0,5,28/10/2016
22,7,28/10/2016,179,26,30,265.017,19,1,0,0,5,28/10/2016
36,23,29/10/2016,118,13,50,265.017,31,0,1,0,1,29/10/2016
34,11,07/11/2016,118,10,37,284.031,28,0,0,0,8,07/11/2016
33,23,07/11/2016,248,25,47,284.031,32,0,2,1,2,07/11/2016
3,6,08/11/2016,179,51,38,284.031,31,0,0,0,8,08/11/2016
20,28,11/11/2016,260,50,36,284.031,23,0,4,0,3,11/11/2016
15,23,14/11/2016,291,31,40,284.031,25,0,1,1,1,14/11/2016
23,1,14/11/2016,378,49,36,284.031,21,0,2,4,8,14/11/2016
14,11,14/11/2016,155,12,34,284.031,25,0,2,0,120,14/11/2016
5,26,14/11/2016,235,20,43,284.031,38,0,1,0,8,14/11/2016
18,0,15/11/2016,330,16,28,284.031,25,1,0,0,0,15/11/2016
1,18,16/11/2016,235,11,37,284.031,29,1,1,1,1,16/11/2016
34,11,16/11/2016,118,10,37,284.031,28,0,0,0,3,16/11/2016
1,25,17/11/2016,235,11,37,284.031,29,1,1,1,2,17/11/2016
3,28,17/11/2016,179,51,38,284.031,31,0,0,0,3,17/11/2016
24,13,18/11/2016,246,25,41,284.031,23,0,0,0,8,18/11/2016
15,12,18/11/2016,291,31,40,284.031,25,0,1,1,4,18/11/2016
24,13,21/11/2016,246,25,41,284.031,23,0,0,0,8,21/11/2016
3,28,22/11/2016,179,51,38,284.031,31,0,0,0,1,22/11/2016
20,10,23/11/2016,260,50,36,284.031,23,0,4,0,8,23/11/2016
20,15,25/11/2016,260,50,36,284.031,23,0,4,0,8,25/11/2016
23,0,25/11/2016,378,49,36,284.031,21,0,2,4,0,25/11/2016
7,0,29/11/2016,279,5,39,284.031,24,0,2,0,0,29/11/2016
3,23,24/11/2016,179,51,38,284.031,31,0,0,0,1,24/11/2016
28,12,05/12/2016,225,26,28,236.629,24,0,1,2,3,05/12/2016
3,28,05/12/2016,179,51,38,236.629,31,0,0,0,2,05/12/2016
3,28,05/12/2016,179,51,38,236.629,31,0,0,0,1,05/12/2016
1,23,05/12/2016,235,11,37,236.629,29,1,1,1,3,05/12/2016
36,28,06/12/2016,118,13,50,236.629,31,0,1,0,1,06/12/2016
20,28,09/12/2016,260,50,36,236.629,23,0,4,0,4,09/12/2016
24,4,15/12/2016,246,25,41,236.629,23,0,0,0,8,15/12/2016
3,28,15/12/2016,179,51,38,236.629,31,0,0,0,1,15/12/2016
3,28,16/12/2016,179,51,38,236.629,31,0,0,0,1,16/12/2016
22,23,20/12/2016,179,26,30,236.629,19,1,0,0,1,20/12/2016
34,25,20/12/2016,118,10,37,236.629,28,0,0,0,8,20/12/2016
1,25,22/12/2016,235,11,37,236.629,29,1,1,1,2,22/12/2016
3,28,23/12/2016,179,51,38,236.629,31,0,0,0,1,23/12/2016
5,13,20/12/2016,235,20,43,236.629,38,0,1,0,8,20/12/2016
1,14,20/12/2016,235,11,37,236.629,29,1,1,1,4,20/12/2016
20,26,21/12/2016,260,50,36,236.629,23,0,4,0,8,21/12/2016
30,28,19/12/2016,157,27,29,236.629,22,0,0,0,2,19/12/2016
3,28,19/12/2016,179,51,38,236.629,31,0,0,0,3,19/12/2016
11,19,19/12/2016,289,36,33,236.629,30,0,2,1,8,19/12/2016
28,23,04/01/2017,225,26,28,330.061,24,0,1,2,5,04/01/2017
34,19,09/01/2017,118,10,37,330.061,28,0,0,0,32,09/01/2017
14,23,09/01/2017,155,12,34,330.061,25,0,2,0,2,09/01/2017
1,13,03/01/2017,235,11,37,330.061,29,1,1,1,1,03/01/2017
14,23,03/01/2017,155,12,34,330.061,25,0,2,0,4,03/01/2017
11,26,09/01/2017,289,36,33,330.061,30,0,2,1,8,09/01/2017
